,a,b,r
36861,0.33037296629011237,0.4820737029200115,0.457920059341243
36862,0.33037296629011237,0.4797543501261985,0.4558615706087422
36863,0.33037296629011237,0.4815961431898046,0.4587744177097387
36864,0.33037296629011237,0.4796455531590902,0.45643216760490823
36865,0.33037296629011237,0.47450620450980907,0.45216058740128895
36866,0.33037296629011237,0.4613887047721388,0.43822124253080974
36867,0.33037296629011237,0.4525465032019196,0.4291129027009183
36868,0.33037296629011237,0.445542467316156,0.42209388737213704
36869,0.33037296629011237,0.4832093750533839,0.46112983739712887
36870,0.33037296629011237,0.4689135385324523,0.44649108242060975
36871,0.33037296629011237,0.46176257918131425,0.4391554926021862
36872,0.33037296629011237,0.4660746870020769,0.444245550282935
36873,0.33037296629011237,0.4812110367045275,0.45877131894033574
36874,0.33037296629011237,0.5083346733844131,0.4864032400922559
36875,0.33037296629011237,0.5294824827018334,0.5078350493223102
36876,0.33037296629011237,0.5038317048708507,0.48178970125057063
36877,0.33037296629011237,0.5160909077053148,0.49407152767912244
36878,0.33037296629011237,0.5326983134353929,0.510476109659148
36879,0.33037296629011237,0.544421139537745,0.5224498820094053
36880,0.33037296629011237,0.5157383655098409,0.49378662341951907
36881,0.33037296629011237,0.5257192651203053,0.5036213378839246
36882,0.33037296629011237,0.5011546131071278,0.47900024320848067
36883,0.33037296629011237,0.5064330662231825,0.48416706079314287
36884,0.33037296629011237,0.5099878713988406,0.487827135009808
36885,0.33037296629011237,0.545465960623146,0.5227695382451146
36886,0.33037296629011237,0.5422182264341857,0.5196935945462643
36887,0.33037296629011237,0.5363301441307955,0.5137683981362015
36888,0.33037296629011237,0.5221557943595485,0.498675877170658
36889,0.33037296629011237,0.5112939282455089,0.48765210470271436
36890,0.33037296629011237,0.5505265251988258,0.5266119886552979
36891,0.33037296629011237,0.5461767794683781,0.5222131971884286
36892,0.33037296629011237,0.5456865742230124,0.5218615687742897
36893,0.33037296629011237,0.4279070144660131,0.40354434035285314
36894,0.33037296629011237,0.4271723371538605,0.4027350522258737
36895,0.33037296629011237,0.43256834538659117,0.4082820131549588
36896,0.33037296629011237,0.43458972018721753,0.4102398517065785
36897,0.33037296629011237,0.43936714710062275,0.41496481693679765
36898,0.33037296629011237,0.43913543967391533,0.41472500438528437
36899,0.33037296629011237,0.4466267094364468,0.42261693322617855
36900,0.33037296629011237,0.44558588598807325,0.42178221496630564
36901,0.33037296629011237,0.4335080983019881,0.4094433116756099
36902,0.33037296629011237,0.4151146219870575,0.39095405436568587
36903,0.33037296629011237,0.4357484907467446,0.41152413177160063
36904,0.33037296629011237,0.4540916659298637,0.42993433082296595
36905,0.33037296629011237,0.43352163064142935,0.4095805266757804
36906,0.33037296629011237,0.41304970337085645,0.38920359621069134
36907,0.33037296629011237,0.39486885281784656,0.37127379371597724
36908,0.33037296629011237,0.3755288397108314,0.3519902926955145
36909,0.33037296629011237,0.3484019233788552,0.32469342317992755
36910,0.33037296629011237,0.31966676367482316,0.2954036196469916
36911,0.33037296629011237,0.2921402836676522,0.2674077359769098
36912,0.33037296629011237,0.27315885952352104,0.24931288849677224
36913,0.33037296629011237,0.2476615201946758,0.2240031674175017
36914,0.33037296629011237,0.2189249496638468,0.19507502258773723
36915,0.33037296629011237,0.19046290353687878,0.16657715145578966
36916,0.33037296629011237,0.16192588584439904,0.13780438081826774
36917,0.33037296629011237,-0.08992407031938776,-0.11628085402267441
36918,0.33037296629011237,-0.12234843772121973,-0.14854171386014114
36919,0.33037296629011237,-0.15291383866352004,-0.1792083167017252
36920,0.33037296629011237,-0.18180535108775298,-0.20817578366477474
36921,0.33037296629011237,-0.20440750727659512,-0.2304766341496991
36922,0.33037296629011237,-0.225993669019252,-0.25212280877503757
36923,0.33037296629011237,-0.2458417079246274,-0.27200198695748445
36924,0.33037296629011237,-0.2579012830632404,-0.2840274230396091
36925,0.33037296629011237,-0.26365373856400354,-0.28967887236014617
36926,0.33037296629011237,-0.26204697202276317,-0.28764312694890903
36927,0.33037296629011237,-0.2620020527943257,-0.2873408414283112
36928,0.33037296629011237,-0.26249209947120383,-0.28770826868917976
36929,0.33037296629011237,-0.263909517564394,-0.28930639692519744
36930,0.33037296629011237,-0.2557112326112365,-0.2823428705839495
36931,0.33037296629011237,-0.23525488278085346,-0.2616783010289431
36932,0.33037296629011237,-0.21208524066431023,-0.2379003874772591
36933,0.33037296629011237,-0.18986430359515383,-0.2153473893196915
36934,0.33037296629011237,-0.17353533619497907,-0.198974834014233
36935,0.33037296629011237,-0.1571137923953212,-0.1826042100730081
36936,0.33037296629011237,-0.14530391265838105,-0.1708290052884135
36937,0.33037296629011237,-0.14207736238549085,-0.16754524370016044
36938,0.33037296629011237,-0.13176574018694753,-0.15649948030702654
36939,0.33037296629011237,-0.1312880090051356,-0.15574380328237641
36940,0.33037296629011237,-0.12520699917159595,-0.14931197671668828
36941,0.33037296629011237,-0.1655908136910177,-0.19065895909836905
36942,0.33037296629011237,-0.17172638630947146,-0.19793017113558586
36943,0.33037296629011237,-0.16436980822823388,-0.19062625154720164
36944,0.33037296629011237,-0.15270606796771213,-0.17902878433079628
36945,0.33037296629011237,-0.13711325471050573,-0.16342270575842915
36946,0.33037296629011237,-0.12128336097670134,-0.14758221074148936
36947,0.33037296629011237,-0.10630026061781617,-0.13261769599360895
36948,0.33037296629011237,-0.10183115694941736,-0.12813100142476186
36949,0.33037296629011237,-0.10378853085681944,-0.13010619671948026
36950,0.33037296629011237,-0.10612204141054166,-0.1324565362203336
36951,0.33037296629011237,-0.1092078252569042,-0.13555716413345692
36952,0.33037296629011237,-0.1079546843301023,-0.13434922452001474
36953,0.33037296629011237,-0.1049634205660187,-0.13137428846368093
36954,0.33037296629011237,-0.10065470669841681,-0.12702253607536318
36955,0.33037296629011237,-0.09575060511437428,-0.12208744062908355
36956,0.33037296629011237,-0.08536133941172913,-0.11169212744508739
36957,0.33037296629011237,-0.07576888308916752,-0.10206213857813401
36958,0.33037296629011237,-0.06641350724320394,-0.09266656615575342
36959,0.33037296629011237,-0.052325240571278187,-0.07856106440792626
36960,0.33037296629011237,-0.04567951192535702,-0.071890975692534
36961,0.33037296629011237,-0.043579577623635846,-0.06980705581003233
36962,0.33037296629011237,-0.04937851289463768,-0.07560116425636504
36963,0.33037296629011237,-0.05353034118603994,-0.07978597129037468
36964,0.33037296629011237,-0.05783905505364184,-0.08413772367869243
36965,0.33037296629011237,0.020854430367452714,-0.004315392025825648
36966,0.33037296629011237,0.019631500346213193,-0.005566516501020247
36967,0.33037296629011237,0.010167279236090065,-0.015146001546715304
36968,0.33037296629011237,0.010001516385402698,-0.01527554762030403
36969,0.33037296629011237,0.0032755928390829636,-0.022013107425960965
36970,0.33037296629011237,-0.006723211035361332,-0.03197505563729719
36971,0.33037296629011237,-0.019822123938048608,-0.04509585252828163
36972,0.33037296629011237,-0.03412613745549781,-0.05944155630171438
36973,0.33037296629011237,-0.04037439582402408,-0.06574228639200458
36974,0.33037296629011237,-0.049259114941388515,-0.07463702275146078
36975,0.33037296629011237,-0.056013688851469234,-0.0814910240901674
36976,0.33037296629011237,-0.053077782132112394,-0.07862134787891006
36977,0.33037296629011237,-0.0457921296823075,-0.07135288020078334
36978,0.33037296629011237,-0.03317625500730409,-0.058663516918225245
36979,0.33037296629011237,-0.02995141499121945,-0.05542216124353966
36980,0.33037296629011237,-0.019105817741855935,-0.044584232763143994
36981,0.33037296629011237,-0.018137797603692274,-0.0435937423252683
36982,0.33037296629011237,-0.017385524311052003,-0.042843453912998375
36983,0.33037296629011237,-0.016807966001089025,-0.04228632844778263
36984,0.33037296629011237,-0.016428325130171784,-0.041943187415426575
36985,0.33037296629011237,-0.015143029615011683,-0.04065080944271349
36986,0.33037296629011237,-0.003783800091407219,-0.029137382599818573
36987,0.33037296629011237,0.0008832210160372167,-0.024436703598111897
36988,0.33037296629011237,0.00675884696284057,-0.018543120887735465
36989,0.33037296629011237,-0.10755264128136649,-0.1343435680059154
36990,0.33037296629011237,-0.09211320937576273,-0.11893643796163533
36991,0.33037296629011237,-0.08948025285152178,-0.11631042851869056
36992,0.33037296629011237,-0.09753600800044449,-0.12435540220183317
36993,0.33037296629011237,-0.10521562650304722,-0.13202523167884084
36994,0.33037296629011237,-0.11396128945068962,-0.14077924027673483
36995,0.33037296629011237,-0.12585510173861536,-0.1526751302852709
36996,0.33037296629011237,-0.13604294577761744,-0.162888462210186
36997,0.33037296629011237,-0.13710899022265727,-0.16397264133107237
36998,0.33037296629011237,-0.13431914812221651,-0.16117968653381937
36999,0.33037296629011237,-0.1290532350737344,-0.15592766764792965
37000,0.33037296629011237,-0.12416345867157258,-0.15105079296817503
37001,0.33037296629011237,-0.11949293333953093,-0.14638211714024707
37002,0.33037296629011237,-0.1163269545927701,-0.14321401813685913
37003,0.33037296629011237,-0.11519854465380969,-0.1420885855184542
37004,0.33037296629011237,-0.11309861035208846,-0.14000466563595249
37005,0.33037296629011237,-0.1106849048979679,-0.13758685504483453
37006,0.33037296629011237,-0.10429058191052532,-0.1312094035405399
37007,0.33037296629011237,-0.09926174933864135,-0.12619180109922307
37008,0.33037296629011237,-0.09271054077499913,-0.11964740424062026
37009,0.33037296629011237,-0.08766387879663745,-0.11460358420655736
37010,0.33037296629011237,-0.08014114587023458,-0.10710070008385791
37011,0.33037296629011237,-0.07735130376979371,-0.10430774528660486
37012,0.33037296629011237,-0.07246152736763173,-0.09943087060685013
37013,0.33037296629011237,0.016116851897348905,-0.009638873797380876
37014,0.33037296629011237,0.017749633695068212,-0.008087793151582479
37015,0.33037296629011237,0.02279979989802683,-0.003075976291298521
37016,0.33037296629011237,0.028759124969825578,0.002853074335563588
37017,0.33037296629011237,0.03692722960750505,0.011049957468241778
37018,0.33037296629011237,0.04534129199627046,0.01944385776477342
37019,0.33037296629011237,0.0524878882763532,0.02657159768133799
37020,0.33037296629011237,0.05910146233391611,0.03315724803745923
37021,0.33037296629011237,0.0707616983698407,0.04478671842764359
37022,0.33037296629011237,0.07602761141832282,0.050038737313533255
37023,0.33037296629011237,0.08109210280316226,0.055108774940342276
37024,0.33037296629011237,0.08432044704384378,0.05831812744124887
37025,0.33037296629011237,0.08776804235464586,0.06173567879398223
37026,0.33037296629011237,0.08778587176112362,0.06176189638672824
37027,0.33037296629011237,0.08816200840744381,0.06213704059286329
37028,0.33037296629011237,0.0911711015780049,0.065138194241943
37029,0.33037296629011237,0.09063807935548507,0.0645961046814999
37030,0.33037296629011237,0.08913353277020442,0.06309552785695993
37031,0.33037296629011237,0.08748993001520178,0.06145422327085781
37032,0.33037296629011237,0.08169099474419983,0.05566011482452504
37033,0.33037296629011237,0.07181692185759714,0.04578067360822624
37034,0.33037296629011237,0.06225662012339361,0.036235123100543665
37035,0.33037296629011237,0.04820050803982612,0.02221405971198742
37036,0.33037296629011237,0.03774887684326034,0.011777493030472708
37037,0.33037296629011237,0.07055445167654817,0.04531429913600804
37038,0.33037296629011237,0.06190681303578183,0.03665397922112468
